timestamp,data
9184000,42.0
9185000,33.0
9186000,46.0
9187000,39.0
9188000,34.0
9189000,40.0
9190000,28.0
9191000,46.0
9192000,39.0
9193000,35.0
9194000,46.0
9195000,35.0
9196000,35.0
9197000,50.0
9198000,36.0
9199000,44.0
9200000,42.0
9201000,45.0
9202000,33.0
9203000,38.0
9204000,38.0
9205000,35.0
9206000,36.0
9207000,27.0
9208000,31.0
9209000,41.0
9210000,46.0
9211000,44.0
9212000,36.0
9213000,41.0
9214000,25.0
9215000,38.0
9216000,34.0
9217000,29.0
9218000,37.0
9219000,39.0
9220000,55.0
9221000,46.0
9222000,34.0
9223000,39.0
9224000,36.0
9225000,38.0
9226000,40.0
9227000,24.0
9228000,42.0
9229000,37.0
9230000,31.0
9231000,38.0
9232000,44.0
9233000,42.0
9234000,41.0
9235000,43.0
9236000,33.0
9237000,33.0
9238000,32.0
9239000,44.0
9240000,36.0
9241000,39.0
9242000,37.0
9243000,33.0
9244000,41.0
9245000,42.0
9246000,40.0
9247000,31.0
9248000,39.0
9249000,34.0
9250000,30.0
9251000,35.0
9252000,40.0
9253000,35.0
9254000,48.0
9255000,35.0
9256000,37.0
9257000,47.0
9258000,37.0
9259000,58.0
9260000,56.0
9261000,40.0
9262000,40.0
9263000,36.0
9264000,37.0
9265000,41.0
9266000,34.0
9267000,40.0
9268000,41.0
9269000,33.0
9270000,39.0
9271000,46.0
9272000,47.0
9273000,28.0
9274000,34.0
9275000,35.0
9276000,40.0
9277000,44.0
9278000,44.0
9279000,33.0
9280000,43.0
9281000,48.0
9282000,42.0
9283000,48.0
9284000,39.0
9285000,37.0
9286000,40.0
9287000,32.0
9288000,29.0
9289000,45.0
9290000,35.0
9291000,35.0
9292000,34.0
9293000,47.0
9294000,47.0
9295000,44.0
9296000,30.0
9297000,43.0
9298000,33.0
9299000,51.0
9300000,49.0
9301000,48.0
9302000,50.0
9303000,44.0
9304000,28.0
9305000,38.0
9306000,48.0
9307000,32.0
9308000,43.0
9309000,39.0
9310000,35.0
9311000,41.0
9312000,45.0
9313000,31.0
9314000,48.0
9315000,36.0
9316000,44.0
9317000,46.0
9318000,46.0
9319000,41.0
9320000,35.0
9321000,35.0
9322000,46.0
9323000,35.0
9324000,37.0
9325000,42.0
9326000,38.0
9327000,32.0
9328000,37.0
9329000,39.0
9330000,38.0
9331000,35.0
9332000,49.0
9333000,35.0
9334000,48.0
9335000,27.0
9336000,42.0
9337000,39.0
9338000,43.0
9339000,47.0
9340000,46.0
9341000,38.0
9342000,38.0
9343000,30.0
9344000,35.0
9345000,52.0
9346000,43.0
9347000,33.0
9348000,41.0
9349000,50.0
9350000,32.0
9351000,44.0
9352000,33.0
9353000,43.0
9354000,41.0
9355000,38.0
9356000,46.0
9357000,45.0
9358000,44.0
9359000,44.0
9360000,43.0
9361000,42.0
9362000,25.0
9363000,37.0
9364000,43.0
9365000,49.0
9366000,31.0
9367000,39.0
9368000,40.0
9369000,52.0
9370000,50.0
9371000,42.0
9372000,35.0
9373000,58.0
9374000,34.0
9375000,33.0
